,ETF,Date,returns
557.0,FBT,42760.0,1.053996179168033
558.0,FBT,42761.0,1.046894420548917
559.0,FBT,42762.0,1.061097937787149
560.0,FBT,42765.0,1.043399831398938
561.0,FBT,42766.0,1.082628813917583
562.0,FBT,42767.0,1.08860332644125
563.0,FBT,42768.0,1.086348822977667
564.0,FBT,42769.0,1.098861504890785
565.0,FBT,42772.0,1.103596021909548
566.0,FBT,42773.0,1.096156003789381
567.0,FBT,42774.0,1.096494173108941
568.0,FBT,42775.0,1.112050536715709
569.0,FBT,42776.0,1.110697780528664
570.0,FBT,42779.0,1.11926504474428
571.0,FBT,42780.0,1.138428577820185
572.0,FBT,42781.0,1.151279429052863
573.0,FBT,42782.0,1.143614002295277
574.0,FBT,42783.0,1.152406765329802
575.0,FBT,42787.0,1.146770422125695
576.0,FBT,42788.0,1.132679564115427
577.0,FBT,42789.0,1.124450469219372
578.0,FBT,42790.0,1.12681772209241
579.0,FBT,42793.0,1.169203045532669
580.0,FBT,42794.0,1.175741226194806
581.0,FBT,42795.0,1.194679339360606
582.0,FBT,42796.0,1.190282912752597
583.0,FBT,42797.0,1.19693384282419
584.0,FBT,42800.0,1.185999325735535
585.0,FBT,42801.0,1.169090296123214
586.0,FBT,42802.0,1.18554840700652
587.0,FBT,42803.0,1.193101084354651
588.0,FBT,42804.0,1.202795605938402
589.0,FBT,42807.0,1.20538835763035
590.0,FBT,42808.0,1.191861167758552
591.0,FBT,42809.0,1.210573782105442
592.0,FBT,42810.0,1.195806596728741
593.0,FBT,42811.0,1.18825391938061
594.0,FBT,42814.0,1.213391953707496
595.0,FBT,42815.0,1.163792122238667
596.0,FBT,42816.0,1.171344889768289
597.0,FBT,42817.0,1.162101196732062
598.0,FBT,42818.0,1.169315794942124
599.0,FBT,42821.0,1.180701151850988
600.0,FBT,42822.0,1.177206641609815
601.0,FBT,42823.0,1.190621172253649
602.0,FBT,42824.0,1.184308411501617
603.0,FBT,42825.0,1.18701391260302
604.0,FBT,42828.0,1.172359386454282
605.0,FBT,42829.0,1.173148474502857
606.0,FBT,42830.0,1.149363094908839
607.0,FBT,42831.0,1.151279429052863
608.0,FBT,42832.0,1.158268528444015
609.0,FBT,42835.0,1.153083103968922
610.0,FBT,42836.0,1.149701264228399
611.0,FBT,42837.0,1.15849394835412
612.0,FBT,42838.0,1.173373883140276
613.0,FBT,42842.0,1.174726639327321
614.0,FBT,42843.0,1.160184862588038
615.0,FBT,42844.0,1.163115783599547
616.0,FBT,42845.0,1.172021217134722
617.0,FBT,42846.0,1.15871944717303
618.0,FBT,42849.0,1.179010226344383
619.0,FBT,42850.0,1.199752014426243
620.0,FBT,42851.0,1.202232027981423
621.0,FBT,42852.0,1.204373770762865
622.0,FBT,42853.0,1.210799292197039
623.0,FBT,42856.0,1.220268303689193
624.0,FBT,42857.0,1.209108366690434
625.0,FBT,42858.0,1.212151958202592
626.0,FBT,42859.0,1.22410097197724
627.0,FBT,42860.0,1.215759206580534
628.0,FBT,42863.0,1.183293903542937
629.0,FBT,42864.0,1.198061100192324
630.0,FBT,42865.0,1.191973838259202
631.0,FBT,42866.0,1.192537506397672
632.0,FBT,42867.0,1.204373770762865
633.0,FBT,42870.0,1.219479215640618
634.0,FBT,42871.0,1.228159150356884
